/home/loris/Desktop/TestRepositories/Forked/juliet-test-suite-c/Automatic/parse-cwe-status.py:45: SyntaxWarning: invalid escape sequence '\S'
  entry_pattern = re.compile('(\S*)__(\S+)_(\d+)-\w* (\d*)\n')

===== EXIT STATUS =====
OK          1297
TIMEOUT       38
SIGABRT      301
139           34

===== DATAFLOW VARIANTS =====
 VAR         OK   TIMEOUT   SIGABRT       139
  1:         34         1         8         2
  2:         34         1         8         2
  3:         34         1         8         2
  4:         34         1         8         2
  5:         34         1         8         2
  6:         34         1         8         2
  7:         34         1         8         2
  8:         34         1         8         2
  9:         34         1         8         2
 10:         34         1         8         2
 11:         34         1         8         2
 12:         39         1         5         0
 13:         34         1         8         2
 14:         34         1         8         2
 15:         34         1         8         2
 16:         34         1         8         2
 17:         34         1         8         2
 18:         34         1         8         2
 21:         34         1         8         0
 22:         34         1         8         0
 31:         34         1         8         0
 32:         34         1         8         0
 34:         34         1         8         0
 41:         34         1         8         0
 42:         34         1         8         0
 44:         34         1         8         0
 45:         34         1         8         0
 51:         34         1         8         0
 52:         34         1         8         0
 53:         34         1         8         0
 54:         34         1         8         0
 61:         34         1         8         0
 63:         34         1         8         0
 64:         34         1         8         0
 65:         34         1         8         0
 66:         34         1         8         0
 67:         34         1         8         0
 68:         34         1         8         0

===== FUNCTIONAL VARIANTS =====
                                      OK   TIMEOUT   SIGABRT       139
CWE131_loop                           38         0         0         0
CWE131_memcpy                         38         0         0         0
CWE131_memmove                        38         0         0         0
CWE135                                38         0         0         0
c_CWE129_connect_socket               38         0         0         0
c_CWE129_fgets                        38         0         0         0
c_CWE129_fscanf                       38         0         0         0
c_CWE129_large                        38         0         0         0
c_CWE129_listen_socket                 0        38         0         0
c_CWE129_rand                         38         0         0         0
c_CWE193_char_cpy                     38         0         0         0
c_CWE193_char_loop                    38         0         0         0
c_CWE193_char_memcpy                  38         0         0         0
c_CWE193_char_memmove                 38         0         0         0
c_CWE193_char_ncpy                    38         0         0         0
c_CWE805_char_loop                    38         0         0         0
c_CWE805_char_memcpy                  38         0         0         0
c_CWE805_char_memmove                 38         0         0         0
c_CWE805_char_ncat                    38         0         0         0
c_CWE805_char_ncpy                    38         0         0         0
c_CWE805_char_snprintf                38         0         0         0
c_CWE805_int64_t_loop                 38         0         0         0
c_CWE805_int64_t_memcpy               38         0         0         0
c_CWE805_int64_t_memmove              38         0         0         0
c_CWE805_int_loop                     38         0         0         0
c_CWE805_int_memcpy                   38         0         0         0
c_CWE805_int_memmove                  38         0         0         0
c_CWE805_struct_loop                  38         0         0         0
c_CWE805_struct_memcpy                38         0         0         0
c_CWE805_struct_memmove               38         0         0         0
c_CWE806_char_loop                     0         0        38         0
c_CWE806_char_memcpy                   0         0        38         0
c_CWE806_char_memmove                  0         0        38         0
c_CWE806_char_ncat                     1         0        37         0
c_CWE806_char_ncpy                     1         0        37         0
c_CWE806_char_snprintf                 0         0        38         0
c_dest_char_cat                       38         0         0         0
c_dest_char_cpy                       38         0         0         0
c_src_char_cat                         0         0        38         0
c_src_char_cpy                         1         0        37         0
char_type_overrun_memcpy               1         0         0        17
char_type_overrun_memmove              1         0         0        17
sizeof_double                         38         0         0         0
sizeof_int64_t                        38         0         0         0
sizeof_struct                         38         0         0         0
