/home/loris/Desktop/TestRepositories/Forked/juliet-test-suite-c/Automatic/parse-cwe-status.py:45: SyntaxWarning: invalid escape sequence '\S'
  entry_pattern = re.compile('(\S*)__(\S+)_(\d+)-\w* (\d*)\n')

===== EXIT STATUS =====
OK           525
TIMEOUT       38
135           20
139           17

===== DATAFLOW VARIANTS =====
 VAR         OK   TIMEOUT       135       139
  1:         16         1         1         0
  2:         16         1         0         1
  3:         16         1         1         0
  4:         16         1         0         1
  5:         16         1         1         0
  6:         16         1         0         1
  7:         16         1         0         1
  8:         16         1         0         1
  9:         16         1         1         0
 10:         16         1         1         0
 11:         16         1         1         0
 12:         17         1         0         0
 13:         16         1         0         1
 14:         16         1         1         0
 15:         16         1         1         0
 16:         16         1         1         0
 17:         16         1         1         0
 18:         16         1         0         1
 21:          7         1         1         0
 22:          7         1         0         1
 31:         13         1         1         0
 32:         13         1         1         0
 34:         13         1         1         0
 41:         13         1         0         1
 42:          7         1         0         1
 44:         13         1         0         1
 45:         13         1         1         0
 51:         13         1         0         1
 52:         13         1         1         0
 53:         13         1         1         0
 54:         13         1         1         0
 61:          7         1         0         1
 63:         13         1         1         0
 64:         13         1         0         1
 65:         13         1         0         1
 66:         13         1         0         1
 67:         13         1         0         1
 68:         13         1         1         0

===== FUNCTIONAL VARIANTS =====
                                      OK   TIMEOUT       135       139
CWE129_connect_socket                 38         0         0         0
CWE129_fgets                          38         0         0         0
CWE129_fscanf                         38         0         0         0
CWE129_large                          38         0         0         0
CWE129_listen_socket                   0        38         0         0
CWE129_rand                            1         0        20        17
CWE170_char_loop                      18         0         0         0
CWE170_char_memcpy                    18         0         0         0
CWE170_char_strncpy                   18         0         0         0
char_alloca_loop                      34         0         0         0
char_alloca_memcpy                    34         0         0         0
char_alloca_memmove                   34         0         0         0
char_declare_loop                     34         0         0         0
char_declare_memcpy                   34         0         0         0
char_declare_memmove                  34         0         0         0
malloc_char_loop                      38         0         0         0
malloc_char_memcpy                    38         0         0         0
malloc_char_memmove                   38         0         0         0
